Timestamp,CIB Heating CT Circuit Flow Temp,CIB Heating CT Circuit LTHW CT Low Temp Alarm,CIB Heating CT Circuit Pumps CT-01 Enable,CIB Heating CT Circuit Pumps CT-01 Fault,CIB Heating CT Circuit Pumps CT-02 Enable,CIB Heating CT Circuit Pumps CT-02 Fault,CIB Heating CT Circuit Pumps DPS,CIB Heating CT Circuit Return Temp,CIB Heating CT Circuit Time Schedule
2025-09-16T23:00:00+01:00 London,26.667481581370037,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,29.826769987742107,AAAA
2025-09-17T00:00:00+01:00 London,26.581764856974285,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,28.953271230061848,AAAA
2025-09-17T01:00:00+01:00 London,26.36134974161784,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,28.4430513381958,AAAA
2025-09-17T02:00:00+01:00 London,25.83480151494344,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,28.1410010655721,AAAA
2025-09-17T03:00:00+01:00 London,25.45927906036377,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,27.60628827412923,AAAA
2025-09-17T04:00:00+01:00 London,25.202128251393635,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,27.11239544550578,AAAA
2025-09-17T05:00:00+01:00 London,24.82660484313965,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,26.81034278869629,AAAA
2025-09-17T06:00:00+01:00 London,24.471493085225422,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,26.67156442006429,AAAA
2025-09-17T07:00:00+01:00 London,24.28169012069702,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,26.251140276590984,AAAA
2025-09-17T08:00:00+01:00 London,24.242910385131836,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.73275629679362,AAAA
2025-09-17T09:00:00+01:00 London,23.87351147333781,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.438870906829834,AAAA
2025-09-17T10:00:00+01:00 London,23.72452735900879,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.24906873703003,AAAA
2025-09-17T11:00:00+01:00 London,23.659220377604168,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.108246485392254,AAAA
2025-09-17T12:00:00+01:00 London,23.63676913579305,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.993957837422688,AAAA
2025-09-17T13:00:00+01:00 London,23.579626083374023,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.1368195215861,AAAA
2025-09-17T14:00:00+01:00 London,23.816364288330078,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.226587613423664,AAAA
2025-09-17T15:00:00+01:00 London,25.20008595784505,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.463327884674072,AAAA
2025-09-17T16:00:00+01:00 London,24.963343461354572,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.16331609090169,AAAA
2025-09-17T17:00:00+01:00 London,24.514350414276123,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.146990299224854,AAAA
2025-09-17T18:00:00+01:00 London,24.634761810302734,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.618433316548664,AAAA
2025-09-17T19:00:00+01:00 London,24.626598358154297,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.93885389963786,AAAA
2025-09-17T20:00:00+01:00 London,24.708232879638672,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.40009307861328,AAAA
2025-09-17T21:00:00+01:00 London,24.789868354797363,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.765378952026367,AAAA
2025-09-17T22:00:00+01:00 London,24.214338620503742,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.36944643656413,AAAA
2025-09-17T23:00:00+01:00 London,23.94902229309082,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.42046880722046,AAAA
2025-09-18T00:00:00+01:00 London,23.814324061075848,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.589861551920574,AAAA
2025-09-18T01:00:00+01:00 London,23.669423580169678,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.716396808624268,AAAA
2025-09-18T02:00:00+01:00 London,23.655138333638508,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.75313377380371,AAAA
2025-09-18T03:00:00+01:00 London,23.708199818929035,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.742929299672443,AAAA
2025-09-18T04:00:00+01:00 London,23.73881260553996,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.57353703180949,AAAA
2025-09-18T05:00:00+01:00 London,23.84697914123535,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.44699764251709,AAAA
2025-09-18T06:00:00+01:00 London,23.90616766611735,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.36536439259847,AAAA
2025-09-18T07:00:00+01:00 London,23.98576084772746,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.324543952941895,AAAA
2025-09-18T08:00:00+01:00 London,23.95310624440511,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.324543952941895,AAAA
2025-09-18T09:00:00+01:00 London,23.95106601715088,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.336790084838867,AAAA
2025-09-18T10:00:00+01:00 London,23.989843527475994,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.37761052449544,AAAA
2025-09-18T11:00:00+01:00 London,24.04290262858073,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.4612873395284,AAAA
2025-09-18T12:00:00+01:00 London,24.126581350962322,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.528637886047363,AAAA
2025-09-18T13:00:00+01:00 London,24.22658348083496,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.606189727783203,AAAA
2025-09-18T14:00:00+01:00 London,24.42250919342041,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.606189727783203,AAAA
2025-09-18T15:00:00+01:00 London,24.54700454076131,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.638843536376953,AAAA
2025-09-18T16:00:00+01:00 London,24.65517012278239,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.683743158976238,AAAA
2025-09-18T17:00:00+01:00 London,24.808237234751385,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.73068316777547,AAAA
2025-09-18T18:00:00+01:00 London,24.900076866149902,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.777623176574707,AAAA
2025-09-18T19:00:00+01:00 London,24.93273131052653,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.822524070739746,AAAA
2025-09-18T20:00:00+01:00 London,24.895994186401367,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.85313622156779,AAAA
2025-09-18T21:00:00+01:00 London,24.7939510345459,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.875587463378906,AAAA
2025-09-18T22:00:00+01:00 London,24.58169937133789,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.92456817626953,AAAA
2025-09-18T23:00:00+01:00 London,24.33271058400472,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.979671478271484,AAAA
2025-09-19T00:00:00+01:00 London,24.157195727030437,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.036815643310547,AAAA
2025-09-19T01:00:00+01:00 London,24.012290477752686,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.10212469100952,AAAA
2025-09-19T02:00:00+01:00 London,24.08780352274577,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.161309560139973,AAAA
2025-09-19T03:00:00+01:00 London,24.351077397664387,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.175597826639812,AAAA
2025-09-19T04:00:00+01:00 London,24.25924078623454,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.887832641601562,AAAA
2025-09-19T05:00:00+01:00 London,24.275564193725586,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.655171394348145,AAAA
2025-09-19T06:00:00+01:00 London,24.08372449874878,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.502105236053467,AAAA
2025-09-19T07:00:00+01:00 London,23.763306140899658,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.49802319208781,AAAA
2025-09-19T08:00:00+01:00 London,23.524520874023438,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.54904619852702,AAAA
2025-09-19T09:00:00+01:00 London,23.43676233291626,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.642924785614014,AAAA
2025-09-19T10:00:00+01:00 London,23.549013137817383,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.642925262451172,AAAA
2025-09-19T11:00:00+01:00 London,23.787793795267742,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.602107683817547,AAAA
2025-09-19T12:00:00+01:00 London,24.106173515319824,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.559246222178142,AAAA
2025-09-19T13:00:00+01:00 London,24.361282348632812,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.557209014892578,AAAA
2025-09-19T14:00:00+01:00 London,24.544962724049885,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.5776154200236,AAAA
2025-09-19T15:00:00+01:00 London,24.859259287516277,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.71435546875,AAAA
2025-09-19T16:00:00+01:00 London,25.128656069437664,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.90007718404134,AAAA
2025-09-19T17:00:00+01:00 London,25.31845776240031,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.110287189483643,AAAA
2025-09-19T18:00:00+01:00 London,25.449073632558186,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.28988567988078,AAAA
2025-09-19T19:00:00+01:00 London,25.51234181722005,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.46336046854655,AAAA
2025-09-19T20:00:00+01:00 London,25.591937859853108,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.583773771921795,AAAA
2025-09-19T21:00:00+01:00 London,25.647040367126465,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.671531677246094,AAAA
2025-09-19T22:00:00+01:00 London,25.64704132080078,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.647040367126465,AAAA
2025-09-19T23:00:00+01:00 London,25.17559591929118,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.6123464902242,AAAA
2025-09-20T00:00:00+01:00 London,24.83272870381673,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.663368225097656,AAAA
2025-09-20T01:00:00+01:00 London,24.581697781880695,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.745001157124836,AAAA
2025-09-20T02:00:00+01:00 London,24.381691614786785,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.749082883199055,AAAA
2025-09-20T03:00:00+01:00 London,24.23883120218913,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.706226348876953,AAAA
2025-09-20T04:00:00+01:00 London,24.098007678985596,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.84092442194621,AAAA
2025-09-20T05:00:00+01:00 London,24.018415451049805,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.708267211914062,AAAA
2025-09-20T06:00:00+01:00 London,23.989841143290203,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.773574829101562,AAAA
2025-09-20T07:00:00+01:00 London,23.902082761128742,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.704185009002686,AAAA
2025-09-20T08:00:00+01:00 London,23.85514243443807,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.671531518300373,AAAA
2025-09-20T09:00:00+01:00 London,23.712279319763184,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.187840938568115,AAAA
2025-09-20T10:00:00+01:00 London,23.740853627522785,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.02252960205078,AAAA
2025-09-20T11:00:00+01:00 London,23.687791506449383,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.167433261871338,AAAA
2025-09-20T12:00:00+01:00 London,23.79595677057902,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.061306794484455,AAAA
2025-09-20T13:00:00+01:00 London,24.030658721923828,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.789870262145996,AAAA
2025-09-20T14:00:00+01:00 London,24.26535987854004,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.74292866388957,AAAA
2025-09-20T15:00:00+01:00 London,24.42863353093465,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.759255568186443,AAAA
2025-09-20T16:00:00+01:00 London,24.520471890767414,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.822523434956867,AAAA
2025-09-20T17:00:00+01:00 London,24.557205200195312,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.918445587158203,AAAA
2025-09-20T18:00:00+01:00 London,24.55312442779541,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.012325604756672,AAAA
2025-09-20T19:00:00+01:00 London,24.440880457560223,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.106206734975178,AAAA
2025-09-20T20:00:00+01:00 London,24.23474915822347,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.175596396128338,AAAA
2025-09-20T21:00:00+01:00 London,24.01841163635254,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.218454360961914,AAAA
2025-09-20T22:00:00+01:00 London,23.7490177154541,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.206210136413574,AAAA
2025-09-20T23:00:00+01:00 London,23.549009482065838,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.416419982910156,AAAA
2025-09-21T00:00:00+01:00 London,23.455128987630207,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.14906374613444,AAAA
2025-09-21T01:00:00+01:00 London,23.485745588938396,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,24.879669189453125,AAAA
2025-09-21T02:00:00+01:00 London,23.19797706604004,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.087838649749756,AAAA
2025-09-21T03:00:00+01:00 London,22.824495792388916,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,25.061306476593018,AAAA
2025-09-21T04:00:00+01:00 London,37.24775695800781,AAAAAaAB,AAAA,AAAA,AAAAAUAB,AAAA,AAAAAUAB,36.95330333709717,AAAAAVAB
2025-09-21T05:00:00+01:00 London,59.59788703918457,AAABAbAA,AAAA,AAAA,AAAB,AAAA,AAAB,58.235328674316406,AAAB
2025-09-21T06:00:00+01:00 London,59.98213481903076,AAAAACABAfAA,AAAA,AAAA,AAAB,AAAA,AAAB,58.72381019592285,AAAB
2025-09-21T07:00:00+01:00 London,60.30687650044759,AAAA,AAAA,AAAA,AAAB,AAAA,AAAB,59.01280530293783,AAAB
2025-09-21T08:00:00+01:00 London,60.17535591125488,AAAA,AAAA,AAAA,AAAB,AAAA,AAAB,58.6061627070109,AAAB
2025-09-21T09:00:00+01:00 London,60.08642133076986,AAAAAuAB,AAAA,AAAA,AAAB,AAAA,AAAB,58.52176761627197,AAAB
2025-09-21T10:00:00+01:00 London,59.355512619018555,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,57.89773941040039,AAAB
