Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power
2026-01-01T00:00:00Z London,100,2.6333333452542624,65.5633316040039,39.59999942779541,80
2026-01-01T01:00:00Z London,100,2.5583333174387612,65.02000045776367,39.73750019073486,80
2026-01-01T02:00:00Z London,100,2.64166667064031,66.10250091552734,39.72500133514404,90
2026-01-01T03:00:00Z London,0,2.7416666746139526,65.75083351135254,39.589999516805015,110
2026-01-01T04:00:00Z London,100,2.5,65.6691665649414,39.54416720072428,80
2026-01-01T05:00:00Z London,100,2.650000015894572,65.62583351135254,39.618334452311196,90
2026-01-01T06:00:00Z London,100,2.4583333333333335,64.94583320617676,39.62833309173584,80
2026-01-01T07:00:00Z London,0,2.5916666785875955,65.72249984741211,39.51166788736979,80
2026-01-01T08:00:00Z London,100,2.466666668653488,65.51333173116048,39.504167238871254,80
2026-01-01T09:00:00Z London,100,2.6583333214124045,65.74416605631511,39.5049991607666,100
2026-01-01T10:00:00Z London,100,2.475000003973643,65.17666753133138,39.584166844685875,80
2026-01-01T11:00:00Z London,0,2.5166666507720947,64.7458324432373,39.381666819254555,70
2026-01-01T12:00:00Z London,100,2.3916667103767395,63.51000054677328,39.247499783833824,70
2026-01-01T13:00:00Z London,100,2.458333363135656,62.762499491373696,38.80249945322672,70
2026-01-01T14:00:00Z London,0,2.4000000059604645,62.6225004196167,38.41749986012777,90
2026-01-01T15:00:00Z London,100,2.4416666825612388,62.90583356221517,38.454166094462074,80
2026-01-01T16:00:00Z London,100,2.3416666289170585,63.02083396911621,38.77166716257731,90
2026-01-01T17:00:00Z London,0,2.3166666626930237,63.06583309173584,38.52416674296061,70
2026-01-01T18:00:00Z London,100,2.36666668454806,63.195000648498535,38.61916700998942,70
2026-01-01T19:00:00Z London,100,2.375000019868215,63.24416573842367,38.78416665395101,70
2026-01-01T20:00:00Z London,0,2.274999996026357,63.94916661580404,38.780832608540855,70
2026-01-01T21:00:00Z London,100,2.200000007947286,64.17833201090495,39.07833290100098,70
2026-01-01T22:00:00Z London,100,2.3833333253860474,64.2575003306071,39.165833473205566,70
